alias	canonical_path	source_repository	disposition	relationship	notes
.github/workflows/import-strict-layer.yml	research/archive/strict-layer-proof-research/history-only/.github/workflows/import-strict-layer.yml	dongxuelian2/strict-layer-proof-research	generated-obsolete	history-only	Deleted from source main before migration; byte-preserved under history-only archive and reachable from the imported source commit graph. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/archive/strict_layer_unified_exact_lift_campaign_initial.md	research/foundations/archive/unified-exact-lift-initial.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/audit_response.md	research/exact-lift/audit-response.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/current_research_status_v3.md	research/exact-lift/status.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/exact_lift_research_synthesis_2026-08-10.md	research/exact-lift/exact-lift-research-synthesis-2026-08-10.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/proved_results_index_v2.md	research/foundations/archive/theorem-index-legacy.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/proved_results_index_v3.md	research/foundations/results/theorem-index.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/proved_results_report_v2.md	research/foundations/archive/proved-results-legacy.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/proved_results_report_v3.md	research/foundations/results/proved-results.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/provenance/MISSING_ARTIFACTS_2026-08-16.md	research/archive/strict-layer-proof-research/00-foundation/provenance/MISSING_ARTIFACTS_2026-08-16.md	dongxuelian2/strict-layer-proof-research	archived	source-only	Source-only bytes preserved once at the canonical target under the frozen archive boundary; original source path remains an alias. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/strict_layer_final_campaign.md	research/exact-lift/final-state.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/strict_layer_round1.md	research/exact-lift/initial-route.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
00-foundation/strict_layer_unified_exact_lift_campaign.md	research/exact-lift/unified-exact-lift.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
10-backward-global/strict_layer_backward_algebraic_denominator_interface.md	research/exact-lift/backward/backward-algebraic-denominator-interface.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
10-backward-global/strict_layer_backward_canonical_dependency_skeleton.md	research/exact-lift/backward/backward-canonical-dependency-skeleton.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
10-backward-global/strict_layer_backward_canonical_synchronization_quotient.md	research/exact-lift/backward/backward-canonical-synchronization-quotient.md	dongxuelian2/strict-layer-proof-research	canonical	exact-duplicate	Exact byte duplicate of the canonical target; this source path is retained as provenance and no second canonical copy is created. Kind is a navigation label based on file type, path, and title; it does not upgrade evidence.
