target_relative_path	source_repository	source_repository_url	source_branch	source_HEAD	source_relative_path	git_tracked	source_blob_oid_if_available	raw_sha256	canonical_text_sha256	asset_class	research_layer	research_series	migration_disposition	provenance_note
manifests/CORPUS_INDEX.tsv	generated				generated/pass3.5/manifests/CORPUS_INDEX.tsv	FALSE		3207767154b6a6728073b1d068fb2754793169d63dc6dc0727177602700e56f9	3207767154b6a6728073b1d068fb2754793169d63dc6dc0727177602700e56f9	GENERATED_INDEX	global	pass3.5	GENERATED_INDEX	Generated Pass 3.5 corpus index; not a transformed source proof body.
manifests/SOURCE_EQUIVALENCE_MANIFEST.tsv	generated				generated/pass3.5/manifests/SOURCE_EQUIVALENCE_MANIFEST.tsv	FALSE		eae45d3f388680760d98fa27acb35f22f7343ddd2ac1f3852b74a9e303340d1c	eae45d3f388680760d98fa27acb35f22f7343ddd2ac1f3852b74a9e303340d1c	GENERATED_INDEX	global	pass3.5	GENERATED_INDEX	Generated Pass 3.5 source-equivalence manifest; contains aliases and symmetric source provenance, not physical proof copies.
manifests/SOURCE_REPOSITORIES.md	generated				generated/pass3.5/manifests/SOURCE_REPOSITORIES.md	FALSE		fa1d36cf0d4c8134b34ad7565e162671536f6c3b06a4ffc8228176a7eb44aac8	fa1d36cf0d4c8134b34ad7565e162671536f6c3b06a4ffc8228176a7eb44aac8	GENERATED_INDEX	global	pass3.5	GENERATED_INDEX	Generated Pass 3.5 source repository record; not a transformed source proof body.
NOTATION.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	NOTATION.md	TRUE	3d5036f2a4de8a9b16dd24b49e33d7f62f57e4bb	b2cb74bafc75593f3621bfbb880431077f204ea7cca48c97f63fd647c8f1489a	b2cb74bafc75593f3621bfbb880431077f204ea7cca48c97f63fd647c8f1489a	NAVIGATION_INDEX	shared	navigation	COPIED_TRACKED	Stable critical-corpus notation retained verbatim as the candidate root notation reference.
README.md	generated				generated/pass3.5/README.md	FALSE		d42de2e24469f475ce11213504e0682ad97063de5dc5696c10737f4806c02042	d42de2e24469f475ce11213504e0682ad97063de5dc5696c10737f4806c02042	GENERATED_INDEX	global	pass3.5	GENERATED_INDEX	Generated Pass 3.5 consolidation navigation; not a transformed source proof body.
reports/critical/C2_NEGATIVE_FINAL_SPRINT_REPORT.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	C2_NEGATIVE_FINAL_SPRINT_REPORT.md	FALSE		5331cc082c6a60c5b851424e8dbc1739535c5d0c6f07879cf26187073a5f8bcf	5331cc082c6a60c5b851424e8dbc1739535c5d0c6f07879cf26187073a5f8bcf	MATHEMATICAL_STAGE_REPORT	critical	C2	COPIED_LOCAL_IGNORED	Ignored local mathematical sprint report; retained because its body records the C2 L+ closure and exact remaining L- frontier.
reports/global/CORPUS_STATUS.md	generated				generated/pass3.5/reports/global/CORPUS_STATUS.md	FALSE		453529af5e99ca9debf1f4082bdeea8add9829f47c270e20f2ba597830d429b8	453529af5e99ca9debf1f4082bdeea8add9829f47c270e20f2ba597830d429b8	GENERATED_INDEX	global	pass3.5	GENERATED_INDEX	Generated Pass 3.5 corpus-level status navigation; source theorem/status documents remain scoped authorities.
reports/global/proved_results_index_v3.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	reports/proved_results_index_v3.md	TRUE	3926e08fa0e21306a596e4c1909964a9442e34da	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	e2fa484d558e61808118475b6d2572369f066aa96f75c2983df3144c0251161e	MATHEMATICAL_STATUS_INDEX	global	global	COPIED_TRACKED	Canonical global v3 staging representative copied verbatim; the critical and strict source copies are equivalent and neither is ranked as more authoritative. See SOURCE_EQUIVALENCE_MANIFEST.tsv.
reports/global/proved_results_report_v3.md	critical	https://github.com/dongxuelian2/three-term-decimal-concatenation-square-sum.git	master	9a4e0481444302b81c69c53d599d69979616a034	reports/proved_results_report_v3.md	TRUE	408ee052831fdf81ce8aa028d8229a819c6e64d7	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	d37c0d1cc0bff23d43ee5301a04046745ce5e0ee2fb671791868ddcdee5388a6	MATHEMATICAL_STATUS_INDEX	global	global	COPIED_TRACKED	Canonical global v3 staging representative copied verbatim; the critical and strict source copies are equivalent and neither is ranked as more authoritative. See SOURCE_EQUIVALENCE_MANIFEST.tsv.
reports/global/PROVENANCE_OVERVIEW.md	generated				generated/pass3.5/reports/global/PROVENANCE_OVERVIEW.md	FALSE		bd5d325b8f16314075196830039b72d9e8158e17747154d9f83906564d9c04a3	bd5d325b8f16314075196830039b72d9e8158e17747154d9f83906564d9c04a3	GENERATED_INDEX	global	pass3.5	GENERATED_INDEX	Generated Pass 3.5 provenance navigation; not a transformed source proof body.
